mesh_id,risk_score,n_cases,x_qubo,selected_qubo,rank_by_risk,selected_rank,lon,lat
14078_03822,0.5845799908276881,115,0,False,73,False,140.78521695652174,38.22255417391304
14079_03824,0.5843897296302287,31,0,False,74,False,140.79315193548388,38.243567741935486
14099_03828,0.5840571613526825,117,0,False,75,False,140.99198153846154,38.28240589743589
14074_03828,0.5832427984520622,29,0,False,76,False,140.7469703448276,38.288912068965516
14096_03823,0.5817035953470329,37,0,False,77,False,140.96614810810811,38.23349081081081
14077_03831,0.5799824027830047,34,0,False,78,False,140.77082,38.311636176470586
14060_03834,0.5792352128259298,615,0,False,79,False,140.60747,38.34978
14081_03821,0.5765735777278227,92,0,False,80,False,140.81406967391305,38.21902380434783
14076_03826,0.5761244049158418,565,0,False,81,False,140.76434477876106,38.2642734159292
14091_03832,0.5757211698277962,1095,0,False,82,False,140.9139650502283,38.32537446575343
14076_03828,0.575391088823563,120,0,False,83,False,140.76493399999998,38.28753183333333
14069_03825,0.5674501827390039,177,0,False,84,False,140.69859,38.25469
14074_03826,0.5670643841143581,24,0,False,85,False,140.74525583333335,38.26851791666667
14076_03827,0.5661862427834674,1666,0,False,86,False,140.76487593637455,38.273562923169266
14082_03823,0.5659886365229606,407,0,False,87,False,140.82255982800982,38.232181474201475
14096_03822,0.5658414603231096,103,0,False,88,False,140.9666703883495,38.2268118446602
14075_03825,0.5638305474233316,287,0,False,89,False,140.75789602787455,38.25477804878049
14075_03833,0.5615791797845778,121,0,False,90,False,140.75995,38.33437
14091_03819,0.5611181990282581,3068,0,False,91,False,140.91576585397652,38.19391763363755
14077_03830,0.5610975969936342,1113,0,False,92,False,140.7741915902965,38.30655611859839
14082_03821,0.5608356363957789,849,0,False,93,False,140.82751361601885,38.21748067137809
14095_03819,0.560328549195919,20,0,False,94,False,140.954482,38.194518
14079_03830,0.558573879191221,113,0,False,95,False,140.79588088495575,38.30955256637168
14083_03823,0.5583588891202309,2058,0,False,96,False,140.8358585617104,38.23396538872692
14078_03833,0.5553687693235012,457,0,False,97,False,140.78648746170677,38.33130037199125
14084_03823,0.5552360181725894,2432,0,False,98,False,140.84570349506578,38.23464225328947
14096_03819,0.5550405028184724,259,0,False,99,False,140.96173285714286,38.199841583011576
14069_03834,0.5547183751748855,11,1,True,100,False,140.69763,38.34291
14091_03833,0.5536912790362547,600,0,False,101,False,140.91464733333333,38.33303285
14075_03828,0.5531698836461607,167,1,True,102,False,140.7539178443114,38.28788011976048
14087_03819,0.5531251835051207,2132,0,False,103,False,140.87587658536586,38.194955830206375
14074_03827,0.5505648401501348,680,0,False,104,False,140.74635832352942,38.272572911764705
14090_03834,0.550017292062943,2,0,False,105,False,140.90034,38.34019
14073_03838,0.549127098172854,1145,0,False,106,False,140.73311,38.38837
14077_03833,0.5472645495508134,191,0,False,107,False,140.7774702617801,38.3311352356021
14086_03836,0.5466460602916594,48,0,False,108,False,140.86464354166665,38.360729375
14086_03820,0.5453369426067176,243,0,False,109,False,140.86931637860084,38.202720411522634
14081_03835,0.5447720512107718,632,0,False,110,False,140.81187,38.35547
14078_03818,0.5444150095106346,25,0,False,111,False,140.7830912,38.1862516
14080_03825,0.5437104256102968,115,0,False,112,False,140.80507886956522,38.259098173913046
14082_03826,0.5436232583723706,221,0,False,113,False,140.82370592760182,38.26642122171946
14075_03821,0.5407705889312594,76,1,True,114,False,140.75475434210526,38.21394197368421
14074_03832,0.5400691682517724,5,0,False,115,False,140.743418,38.321652
14095_03820,0.5364150095106345,25,0,False,116,False,140.9568524,38.2016872
14084_03834,0.5360764592658522,305,0,False,117,False,140.8424818360656,38.34258052459016
14078_03827,0.5357934222714571,1687,1,True,118,False,140.78640524599882,38.27372429756965
14078_03832,0.5350967079251565,901,0,False,119,False,140.78548364039955,38.32775068812431
14082_03828,0.5338165168021194,1200,0,False,120,False,140.82476640000002,38.28640204166667
